N_P_star,N_UF_star,computation_time_sec,leader_candidate_count,leader_full_evaluated_count,leader_serial_override,solver_evaluations,step,sup_pick_pfo,sup_v_pfo,sup_v_pstack,wu_b2_price_A,wu_b2_price_B,wu_b2_price_C,wu_b2_price_D,wu_b2_price_F,wu_b2_price_delta_sec,wu_b2_price_enabled,wu_b2_price_ref_A,wu_b2_price_ref_B,wu_b2_price_ref_C,wu_b2_price_ref_D,wu_b2_price_ref_F,wu_b2_price_refresh_count,wu_b2_price_refreshed,wu_b2_price_skipped,wu_b2_price_trust_sec,wu_b3_cliff_both_FW_E,wu_b3_cliff_both_FW_W,wu_b3_meter_fd3_R_D_E_base,wu_b3_meter_fd3_R_D_E_cliffup,wu_b3_meter_fd3_R_D_E_curv,wu_b3_meter_fd3_R_D_E_hi,wu_b3_meter_fd3_R_D_E_lo,wu_b3_meter_fd3_R_D_E_nonlin,wu_b3_meter_fd3_R_D_W_base,wu_b3_meter_fd3_R_D_W_cliffup,wu_b3_meter_fd3_R_D_W_curv,wu_b3_meter_fd3_R_D_W_hi,wu_b3_meter_fd3_R_D_W_lo,wu_b3_meter_fd3_R_D_W_nonlin,wu_b3_meter_fd3_R_F_E_base,wu_b3_meter_fd3_R_F_E_cliffup,wu_b3_meter_fd3_R_F_E_curv,wu_b3_meter_fd3_R_F_E_hi,wu_b3_meter_fd3_R_F_E_lo,wu_b3_meter_fd3_R_F_E_nonlin,wu_b3_meter_fd3_R_F_W_base,wu_b3_meter_fd3_R_F_W_cliffup,wu_b3_meter_fd3_R_F_W_curv,wu_b3_meter_fd3_R_F_W_hi,wu_b3_meter_fd3_R_F_W_lo,wu_b3_meter_fd3_R_F_W_nonlin,wu_b3_meter_price_R_D_E,wu_b3_meter_price_R_D_W,wu_b3_meter_price_R_F_E,wu_b3_meter_price_R_F_W,wu_b3_meter_price_enabled,wu_b3_meter_price_ref_R_D_E,wu_b3_meter_price_ref_R_D_W,wu_b3_meter_price_ref_R_F_E,wu_b3_meter_price_ref_R_F_W,wu_b3_release_ratio_FW_E,wu_b3_release_ratio_FW_W,wu_b3_release_refresh,wu_b3_vsl_price_FW_E__seg0,wu_b3_vsl_price_FW_E__seg1,wu_b3_vsl_price_FW_E__seg2,wu_b3_vsl_price_FW_E__seg3,wu_b3_vsl_price_FW_E__seg4,wu_b3_vsl_price_FW_E__seg5,wu_b3_vsl_price_FW_E__seg6,wu_b3_vsl_price_FW_E__seg7,wu_b3_vsl_price_FW_W__seg0,wu_b3_vsl_price_FW_W__seg1,wu_b3_vsl_price_FW_W__seg2,wu_b3_vsl_price_FW_W__seg3,wu_b3_vsl_price_FW_W__seg4,wu_b3_vsl_price_FW_W__seg5,wu_b3_vsl_price_FW_W__seg6,wu_b3_vsl_price_FW_W__seg7,wu_b3_vsl_price_enabled,wu_b3_vsl_price_ref_FW_E__seg0,wu_b3_vsl_price_ref_FW_E__seg1,wu_b3_vsl_price_ref_FW_E__seg2,wu_b3_vsl_price_ref_FW_E__seg3,wu_b3_vsl_price_ref_FW_E__seg4,wu_b3_vsl_price_ref_FW_E__seg5,wu_b3_vsl_price_ref_FW_E__seg6,wu_b3_vsl_price_ref_FW_E__seg7,wu_b3_vsl_price_ref_FW_W__seg0,wu_b3_vsl_price_ref_FW_W__seg1,wu_b3_vsl_price_ref_FW_W__seg2,wu_b3_vsl_price_ref_FW_W__seg3,wu_b3_vsl_price_ref_FW_W__seg4,wu_b3_vsl_price_ref_FW_W__seg5,wu_b3_vsl_price_ref_FW_W__seg6,wu_b3_vsl_price_ref_FW_W__seg7,wu_b4_barrier_enabled,wu_f3_offset_inner_iters_A,wu_f3_offset_inner_iters_B,wu_f3_offset_inner_iters_C,wu_f3_offset_price_A,wu_f3_offset_price_B,wu_f3_offset_price_C,wu_f3_offset_price_enabled,wu_f3_offset_ref_A,wu_f3_offset_ref_B,wu_f3_offset_ref_C,wu_f3_offset_walk_from_A,wu_f3_offset_walk_from_B,wu_f3_offset_walk_from_C,wu_faithful_active,wu_faithful_np_bias_ratio,wu_faithful_np_cand_lambda,wu_faithful_np_cand_lambda_applied,wu_faithful_np_feasible_max,wu_faithful_np_feasible_max_veh,wu_faithful_np_feasible_min,wu_faithful_np_feasible_min_veh,wu_faithful_np_original_target,wu_faithful_np_original_target_veh,wu_faithful_np_pd_exit,wu_faithful_np_pd_iters,wu_faithful_np_pd_lam_entry,wu_faithful_np_pd_residual,wu_faithful_np_predictor_current_interval,wu_faithful_np_predictor_legacy,wu_faithful_np_predictor_mode_code,wu_faithful_np_predictor_phase_substep,wu_faithful_np_predictor_storage_aware,wu_faithful_np_projected_target,wu_faithful_np_projected_target_veh,wu_faithful_np_projection_residual,wu_faithful_np_realized_sum_nin_veh,wu_faithful_np_sum_nin,wu_faithful_np_target,wu_faithful_np_target_error,wu_seg13_active,wu_seg13_budget_FW_E,wu_seg13_budget_FW_W,wu_seg13_evals_FW_E,wu_seg13_evals_FW_W,wu_seg13_floor_alpha_FW_W,wu_seg13_floor_cong_FW_W,wu_seg13_meter_box_edge_FW_E,wu_seg13_meter_box_edge_FW_W,wu_seg13_meter_box_r_FW_E,wu_seg13_meter_box_r_FW_W,wu_seg13_meter_box_total_FW_E,wu_seg13_meter_box_total_FW_W,wu_seg13_postsplit_FW_E,wu_seg13_postsplit_FW_W,wu_seg13_presplit_FW_E,wu_seg13_presplit_FW_W,wu_seg13_traj_used_FW_E,wu_seg13_traj_used_FW_W,wu_seg13_vsl_box_r_FW_E,wu_seg13_vsl_box_r_FW_W
0.0,0.0,2.6500027161091566e-05,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0006846999749541283,0.0,0.0,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,2.0099978428333998e-05,0.0,0.0,0.0,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,3.689998993650079e-05,0.0,0.0,0.0,0.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,3.430002834647894e-05,0.0,0.0,0.0,0.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435.59805377460884,6000.0,41.19063740002457,49.0,4.0,0.0,141.0,5,0.0,93.58486905659815,92.52662172981098,-0.0004911497663666236,-0.032089832001959674,-0.015882548854928142,-0.01284200946485814,-0.04454248746566841,6.0,1.0,56.0,56.0,56.0,56.0,56.0,1.0,1.0,0.0,6.0,0.0,0.0,294.6748509511729,0.0,0.42848963607536916,294.6748509511729,295.1033405872482,0.0,294.6748509511729,0.0,0.3291428008554931,294.6748509511729,295.00399375202835,0.0,294.6748509511729,0.0,0.6232306687080609,294.6748509511729,295.29808161988103,0.0,294.6748509511729,0.0,0.47518920334380255,294.6748509511729,295.1500401545168,0.0,-0.0014282987869177078,-0.0010971426695181208,-0.0020774355623603925,-0.0015839640111461979,1.0,1500.0,1500.0,1500.0,1500.0,,,0.0,0.05298960389924581,0.053404294114067066,0.053804454084765405,0.054036190094031517,0.05425688376610785,0.053957925380132915,0.05343105525658186,0.05217133635419194,0.05224708089519163,0.05262753742220072,0.052984753450606006,0.05323966287770636,0.05342510074163834,0.05321344908958707,0.052681513801684246,0.0514600165370525,1.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,0.0,4.0,4.0,4.0,-0.012550967067273341,-0.0012708028708969714,-0.020041751724701243,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,435.59805377460884,0.0,435.59805377460884,1.0,,,24.0,24.0,,,2.0,2.0,300.0,300.0,2.0,2.0,,,,,,,15.0,15.0
541.3252178083329,6000.0,24.387777100026142,49.0,4.0,0.0,458.0,6,0.0,133.10457142601402,132.07505170320192,-0.0004911497663666236,-0.032089832001959674,-0.015882548854928142,-0.01284200946485814,-0.04454248746566841,6.0,1.0,56.0,56.0,56.0,56.0,56.0,1.0,0.0,0.0,6.0,0.0,0.0,294.6748509511729,0.0,0.42848963607536916,294.6748509511729,295.1033405872482,0.0,294.6748509511729,0.0,0.3291428008554931,294.6748509511729,295.00399375202835,0.0,294.6748509511729,0.0,0.6232306687080609,294.6748509511729,295.29808161988103,0.0,294.6748509511729,0.0,0.47518920334380255,294.6748509511729,295.1500401545168,0.0,-0.0014282987869177078,-0.0010971426695181208,-0.0020774355623603925,-0.0015839640111461979,1.0,1500.0,1500.0,1500.0,1500.0,,,0.0,0.05298960389924581,0.053404294114067066,0.053804454084765405,0.054036190094031517,0.05425688376610785,0.053957925380132915,0.05343105525658186,0.05217133635419194,0.05224708089519163,0.05262753742220072,0.052984753450606006,0.05323966287770636,0.05342510074163834,0.05321344908958707,0.052681513801684246,0.0514600165370525,1.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,0.0,4.0,4.0,4.0,-0.012550967067273341,-0.0012708028708969714,-0.020041751724701243,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,541.3252178083329,0.0,541.3252178083329,1.0,,,24.0,24.0,,,2.0,2.0,300.0,300.0,2.0,2.0,,,,,1.0,1.0,15.0,15.0
688.3123571882008,6000.0,34.11330399999861,49.0,5.0,0.0,485.0,7,0.0,174.1686421780238,173.45256410711977,-0.0004911497663666236,-0.032089832001959674,-0.015882548854928142,-0.01284200946485814,-0.04454248746566841,6.0,1.0,56.0,56.0,56.0,56.0,56.0,1.0,0.0,0.0,6.0,0.0,0.0,294.6748509511729,0.0,0.42848963607536916,294.6748509511729,295.1033405872482,0.0,294.6748509511729,0.0,0.3291428008554931,294.6748509511729,295.00399375202835,0.0,294.6748509511729,0.0,0.6232306687080609,294.6748509511729,295.29808161988103,0.0,294.6748509511729,0.0,0.47518920334380255,294.6748509511729,295.1500401545168,0.0,-0.0014282987869177078,-0.0010971426695181208,-0.0020774355623603925,-0.0015839640111461979,1.0,1500.0,1500.0,1500.0,1500.0,,,0.0,0.05298960389924581,0.053404294114067066,0.053804454084765405,0.054036190094031517,0.05425688376610785,0.053957925380132915,0.05343105525658186,0.05217133635419194,0.05224708089519163,0.05262753742220072,0.052984753450606006,0.05323966287770636,0.05342510074163834,0.05321344908958707,0.052681513801684246,0.0514600165370525,1.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,0.0,4.0,4.0,4.0,-0.012550967067273341,-0.0012708028708969714,-0.020041751724701243,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,688.3123571882008,0.0,688.3123571882008,1.0,,,24.0,24.0,,,2.0,2.0,300.0,300.0,2.0,2.0,,,,,1.0,1.0,15.0,15.0
765.2459160004115,6000.0,33.035451300034765,49.0,5.0,0.0,447.0,8,0.0,202.38028397680603,202.14822922136193,-0.0004911497663666236,-0.032089832001959674,-0.015882548854928142,-0.01284200946485814,-0.04454248746566841,6.0,1.0,56.0,56.0,56.0,56.0,56.0,1.0,0.0,0.0,6.0,0.0,0.0,294.6748509511729,0.0,0.42848963607536916,294.6748509511729,295.1033405872482,0.0,294.6748509511729,0.0,0.3291428008554931,294.6748509511729,295.00399375202835,0.0,294.6748509511729,0.0,0.6232306687080609,294.6748509511729,295.29808161988103,0.0,294.6748509511729,0.0,0.47518920334380255,294.6748509511729,295.1500401545168,0.0,-0.0014282987869177078,-0.0010971426695181208,-0.0020774355623603925,-0.0015839640111461979,1.0,1500.0,1500.0,1500.0,1500.0,,,0.0,0.05298960389924581,0.053404294114067066,0.053804454084765405,0.054036190094031517,0.05425688376610785,0.053957925380132915,0.05343105525658186,0.05217133635419194,0.05224708089519163,0.05262753742220072,0.052984753450606006,0.05323966287770636,0.05342510074163834,0.05321344908958707,0.052681513801684246,0.0514600165370525,1.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,0.0,4.0,4.0,4.0,-0.012550967067273341,-0.0012708028708969714,-0.020041751724701243,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,765.2459160004115,0.0,765.2459160004115,1.0,,,24.0,24.0,,,2.0,2.0,300.0,300.0,2.0,2.0,,,,,1.0,1.0,15.0,15.0
821.4665419655182,5850.9742383345765,32.81861349998508,49.0,5.0,1.0,437.0,9,0.0,217.86598789414361,217.58711527626815,-0.0004911497663666236,-0.032089832001959674,-0.015882548854928142,-0.01284200946485814,-0.04454248746566841,6.0,1.0,56.0,56.0,56.0,56.0,56.0,1.0,0.0,0.0,6.0,0.0,0.0,294.6748509511729,0.0,0.42848963607536916,294.6748509511729,295.1033405872482,0.0,294.6748509511729,0.0,0.3291428008554931,294.6748509511729,295.00399375202835,0.0,294.6748509511729,0.0,0.6232306687080609,294.6748509511729,295.29808161988103,0.0,294.6748509511729,0.0,0.47518920334380255,294.6748509511729,295.1500401545168,0.0,-0.0014282987869177078,-0.0010971426695181208,-0.0020774355623603925,-0.0015839640111461979,1.0,1500.0,1500.0,1500.0,1500.0,1.0,1.0,0.0,0.05298960389924581,0.053404294114067066,0.053804454084765405,0.054036190094031517,0.05425688376610785,0.053957925380132915,0.05343105525658186,0.05217133635419194,0.05224708089519163,0.05262753742220072,0.052984753450606006,0.05323966287770636,0.05342510074163834,0.05321344908958707,0.052681513801684246,0.0514600165370525,1.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,0.0,4.0,4.0,4.0,-0.012550967067273341,-0.0012708028708969714,-0.020041751724701243,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,938.7323740707577,821.4665419655182,645.7668066472619,821.4665419655182,821.4665419655182,821.4665419655182,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,821.4665419655182,821.4665419655182,0.0,821.4665419655182,821.4665419655182,821.4665419655182,0.0,1.0,2850.974238334577,3000.0,24.0,24.0,0.2700452402861824,0.8246362647474688,2.0,2.0,300.0,300.0,2.0,2.0,2850.974238334577,3000.0,3000.0,3000.0,1.0,1.0,15.0,15.0
