N_P_star,N_UF_star,computation_time_sec,leader_candidate_count,leader_full_evaluated_count,leader_serial_override,solver_evaluations,step,sup_pick_pfo,sup_v_pfo,sup_v_pstack,wu_b2_price_A,wu_b2_price_B,wu_b2_price_C,wu_b2_price_D,wu_b2_price_F,wu_b2_price_delta_sec,wu_b2_price_enabled,wu_b2_price_ref_A,wu_b2_price_ref_B,wu_b2_price_ref_C,wu_b2_price_ref_D,wu_b2_price_ref_F,wu_b2_price_refresh_count,wu_b2_price_refreshed,wu_b2_price_skipped,wu_b2_price_trust_sec,wu_b3_cliff_both_FW_E,wu_b3_cliff_both_FW_W,wu_b3_meter_fd3_R_D_E_base,wu_b3_meter_fd3_R_D_E_cliffup,wu_b3_meter_fd3_R_D_E_curv,wu_b3_meter_fd3_R_D_E_hi,wu_b3_meter_fd3_R_D_E_lo,wu_b3_meter_fd3_R_D_E_nonlin,wu_b3_meter_fd3_R_D_W_base,wu_b3_meter_fd3_R_D_W_cliffup,wu_b3_meter_fd3_R_D_W_curv,wu_b3_meter_fd3_R_D_W_hi,wu_b3_meter_fd3_R_D_W_lo,wu_b3_meter_fd3_R_D_W_nonlin,wu_b3_meter_fd3_R_F_E_base,wu_b3_meter_fd3_R_F_E_cliffup,wu_b3_meter_fd3_R_F_E_curv,wu_b3_meter_fd3_R_F_E_hi,wu_b3_meter_fd3_R_F_E_lo,wu_b3_meter_fd3_R_F_E_nonlin,wu_b3_meter_fd3_R_F_W_base,wu_b3_meter_fd3_R_F_W_cliffup,wu_b3_meter_fd3_R_F_W_curv,wu_b3_meter_fd3_R_F_W_hi,wu_b3_meter_fd3_R_F_W_lo,wu_b3_meter_fd3_R_F_W_nonlin,wu_b3_meter_price_R_D_E,wu_b3_meter_price_R_D_W,wu_b3_meter_price_R_F_E,wu_b3_meter_price_R_F_W,wu_b3_meter_price_enabled,wu_b3_meter_price_ref_R_D_E,wu_b3_meter_price_ref_R_D_W,wu_b3_meter_price_ref_R_F_E,wu_b3_meter_price_ref_R_F_W,wu_b3_release_ratio_FW_E,wu_b3_release_ratio_FW_W,wu_b3_release_refresh,wu_b3_vsl_price_FW_E__seg0,wu_b3_vsl_price_FW_E__seg1,wu_b3_vsl_price_FW_E__seg2,wu_b3_vsl_price_FW_E__seg3,wu_b3_vsl_price_FW_E__seg4,wu_b3_vsl_price_FW_E__seg5,wu_b3_vsl_price_FW_E__seg6,wu_b3_vsl_price_FW_E__seg7,wu_b3_vsl_price_FW_W__seg0,wu_b3_vsl_price_FW_W__seg1,wu_b3_vsl_price_FW_W__seg2,wu_b3_vsl_price_FW_W__seg3,wu_b3_vsl_price_FW_W__seg4,wu_b3_vsl_price_FW_W__seg5,wu_b3_vsl_price_FW_W__seg6,wu_b3_vsl_price_FW_W__seg7,wu_b3_vsl_price_enabled,wu_b3_vsl_price_ref_FW_E__seg0,wu_b3_vsl_price_ref_FW_E__seg1,wu_b3_vsl_price_ref_FW_E__seg2,wu_b3_vsl_price_ref_FW_E__seg3,wu_b3_vsl_price_ref_FW_E__seg4,wu_b3_vsl_price_ref_FW_E__seg5,wu_b3_vsl_price_ref_FW_E__seg6,wu_b3_vsl_price_ref_FW_E__seg7,wu_b3_vsl_price_ref_FW_W__seg0,wu_b3_vsl_price_ref_FW_W__seg1,wu_b3_vsl_price_ref_FW_W__seg2,wu_b3_vsl_price_ref_FW_W__seg3,wu_b3_vsl_price_ref_FW_W__seg4,wu_b3_vsl_price_ref_FW_W__seg5,wu_b3_vsl_price_ref_FW_W__seg6,wu_b3_vsl_price_ref_FW_W__seg7,wu_b4_barrier_enabled,wu_f3_offset_inner_iters_A,wu_f3_offset_inner_iters_B,wu_f3_offset_inner_iters_C,wu_f3_offset_price_A,wu_f3_offset_price_B,wu_f3_offset_price_C,wu_f3_offset_price_enabled,wu_f3_offset_ref_A,wu_f3_offset_ref_B,wu_f3_offset_ref_C,wu_f3_offset_walk_from_A,wu_f3_offset_walk_from_B,wu_f3_offset_walk_from_C,wu_faithful_active,wu_faithful_np_bias_ratio,wu_faithful_np_cand_lambda,wu_faithful_np_cand_lambda_applied,wu_faithful_np_feasible_max,wu_faithful_np_feasible_max_veh,wu_faithful_np_feasible_min,wu_faithful_np_feasible_min_veh,wu_faithful_np_original_target,wu_faithful_np_original_target_veh,wu_faithful_np_pd_exit,wu_faithful_np_pd_iters,wu_faithful_np_pd_lam_entry,wu_faithful_np_pd_residual,wu_faithful_np_predictor_current_interval,wu_faithful_np_predictor_legacy,wu_faithful_np_predictor_mode_code,wu_faithful_np_predictor_phase_substep,wu_faithful_np_predictor_storage_aware,wu_faithful_np_projected_target,wu_faithful_np_projected_target_veh,wu_faithful_np_projection_residual,wu_faithful_np_realized_sum_nin_veh,wu_faithful_np_sum_nin,wu_faithful_np_target,wu_faithful_np_target_error,wu_seg13_active,wu_seg13_budget_FW_E,wu_seg13_budget_FW_W,wu_seg13_evals_FW_E,wu_seg13_evals_FW_W,wu_seg13_meter_box_edge_FW_E,wu_seg13_meter_box_edge_FW_W,wu_seg13_meter_box_r_FW_E,wu_seg13_meter_box_r_FW_W,wu_seg13_meter_box_total_FW_E,wu_seg13_meter_box_total_FW_W,wu_seg13_postsplit_FW_E,wu_seg13_postsplit_FW_W,wu_seg13_presplit_FW_E,wu_seg13_presplit_FW_W,wu_seg13_traj_used_FW_E,wu_seg13_traj_used_FW_W,wu_seg13_vsl_box_r_FW_E,wu_seg13_vsl_box_r_FW_W
0.0,0.0,3.99000127799809e-05,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,4.880002234131098e-05,0.0,0.0,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,3.130000550299883e-05,0.0,0.0,0.0,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,7.730000652372837e-05,0.0,0.0,0.0,0.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,3.0499999411404133e-05,0.0,0.0,0.0,0.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460.1616859789217,5400.0,45.64121540001361,49.0,5.0,1.0,214.0,5,0.0,98.04846632338445,97.01039516383452,-0.00014849053826036362,-0.013811016817136534,-0.013977210822052277,0.07478549246679445,-0.07324823935562111,6.0,1.0,56.0,56.0,56.0,56.0,56.0,1.0,1.0,0.0,6.0,0.0,0.0,323.66878916452845,0.0,0.7255508431910584,323.66878916452845,324.3943400077195,0.0,323.66878916452845,0.0,0.5467433209388446,323.66878916452845,324.2155324854673,0.0,323.66878916452845,0.0,0.571694558793979,323.66878916452845,324.2404837233224,0.0,323.66878916452845,0.0,0.5439614833712767,323.66878916452845,324.2127506478998,0.0,-0.0024185028106368613,-0.0018224777364628153,-0.0019056485293132634,-0.0018132049445711118,1.0,1500.0,1500.0,1500.0,1500.0,1.0,1.0,0.0,0.05392689535000112,0.0543408908219341,0.054739648768582595,0.05497355575915624,0.055197228837362645,0.05489764927443828,0.05437128497542778,0.05311090776103775,0.053389260496195856,0.053769018780883915,0.05412483524732038,0.05438134429872417,0.05456998816093196,0.05435867826673606,0.05382701984939535,0.05260473253573136,1.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,0.0,4.0,4.0,4.0,-0.036708689203949874,-0.0038880766492384237,-0.0062615277277453495,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,1.0,518.8216859789217,460.1616859789217,372.4366859789217,460.1616859789217,-1502.6779641310393,-1502.6779641310393,2.0,2.0,0.0,51.128750000000025,0.0,1.0,0.0,0.0,0.0,409.03293597892167,460.1616859789217,-1911.710900109961,460.1616859789217,460.1616859789217,-1502.6779641310393,51.128750000000025,1.0,2684.9170270526392,2715.0829729473608,24.0,24.0,2.0,2.0,300.0,300.0,2.0,2.0,2684.9170270526392,2715.0829729473608,3000.0,3000.0,1.0,1.0,15.0,15.0
582.7850010478439,6000.0,47.82696659996873,49.0,5.0,0.0,503.0,6,0.0,143.5499073515244,142.47711520521625,0.00622978743130298,-0.022871665624562755,-0.011936802799287069,0.16978590881929312,-0.08722796722262391,6.0,1.0,56.0,56.0,56.0,56.0,56.0,2.0,1.0,0.0,6.0,0.0,0.0,392.4740078262339,0.0,0.04760371662587204,392.4635473948966,392.53207197419704,0.0,392.4740078262339,0.0,0.032554880302313904,392.4669671539922,392.51360337877793,0.0,392.4740078262339,0.0,0.04348420340056691,392.4638621630711,392.5276376927972,0.0,392.4740078262339,0.0,0.032670791261921295,392.4686318311358,392.51205461259394,0.0,-0.00014976692021653453,-0.00010540248036829582,-0.00013938742520954706,-9.813978063635747e-05,1.0,1342.4585135263196,1357.5414864736804,1342.4585135263196,1357.5414864736804,,,0.0,0.09837335540612724,0.09800472331174194,0.09713697205403538,0.09907338109549091,0.09877681740481296,0.09936127797795127,0.09895948296360739,0.09838429841159417,0.09840925015709381,0.09804403152320873,0.09720431407932892,0.10013523328379534,0.09981373352036495,0.09929353042576831,0.09899876546039935,0.09855664804594078,1.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,0.0,4.0,4.0,4.0,-0.038778875561096784,-0.009609901375772919,-0.005715394970822422,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,582.7850010478439,0.0,582.7850010478439,1.0,,,32.0,28.0,2.0,2.0,300.0,300.0,2.0,2.0,,,,,1.0,1.0,15.0,15.0
749.8647602814016,6000.0,44.33086829999229,49.0,5.0,0.0,440.0,7,0.0,191.30232245243928,190.49971648571284,0.018735103376640118,-0.07894132083183296,0.007698203469537274,0.019921120888836713,-0.15389155260829784,6.0,1.0,56.0,56.0,56.0,50.0,56.0,3.0,1.0,0.0,6.0,0.0,0.0,454.35411837687843,0.0,0.6755679105676791,454.35411837687843,455.0296862874461,0.0,454.35411837687843,0.0,0.46950678821724523,454.35411837687843,454.8236251650957,0.0,454.35411837687843,0.0,0.726050463415163,454.35411837687843,455.0801688402936,0.0,454.35411837687843,0.0,0.42232415406556356,454.35411837687843,454.77644253094394,0.0,-0.002162363510290059,-0.0015422806598387238,-0.0023414817390991515,-0.0014077471802183556,1.0,1500.0,1500.0,1500.0,1500.0,,,0.0,0.09602908741104663,0.09541658772657406,0.09514553539094983,0.09971892772158242,0.0997103408041287,0.09994588501764667,0.09991903438339057,0.09974111621613845,0.0960334942329137,0.09550644013725318,0.09517589053703582,0.09948863434688847,0.09941026821375658,0.09994721876468199,0.09988697607661265,0.09967923507927168,1.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,0.0,4.0,4.0,4.0,0.008785570175284422,-0.03577673191257594,0.011194877471582536,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,749.8647602814016,0.0,749.8647602814016,1.0,,,24.0,24.0,2.0,2.0,300.0,300.0,2.0,2.0,,,,,1.0,1.0,15.0,15.0
878.5269284352233,6000.0,43.513506999996025,49.0,5.0,0.0,430.0,8,0.0,226.08775965627325,225.58967429648362,0.039418761039826035,-0.14335197225618707,0.009430514709759454,0.21128642965903371,0.24981266639437794,6.0,1.0,56.0,56.0,56.0,44.0,62.0,4.0,1.0,0.0,6.0,0.0,0.0,500.2194751490967,0.0,0.5367104357018206,500.2194751490967,500.7561855847985,0.0,500.2194751490967,0.0,0.4396157134773375,500.2194751490967,500.659090862574,0.0,500.2194751490967,0.0,1.2405058220693945,500.2194751490967,501.4599809711661,0.0,500.2194751490967,0.0,1.3360002673566669,500.2194751490967,501.55547541645336,0.0,-0.0017890347856727355,-0.0014653857115909355,-0.001914109376616627,-0.003614486516400177,1.0,1500.0,1500.0,1500.0,1500.0,,,0.0,0.09999530615371093,0.09987262049958331,0.09983111456488274,0.1,0.1,0.1,0.1,0.1,0.09988992530605145,0.0996709093663366,0.09958641778652293,0.1,0.1,0.1,0.1,0.1,1.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,0.0,4.0,4.0,4.0,0.05536148214495326,-0.025622272950596513,0.0038682170896688177,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,878.5269284352233,0.0,878.5269284352233,1.0,,,24.0,24.0,2.0,2.0,300.0,300.0,2.0,2.0,,,,,1.0,1.0,15.0,15.0
0.0,0.0,44.67859809997026,0.0,0.0,0.0,344.0,9,1.0,247.0495625050856,247.1340476978926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,880.9434853793975,0.0,880.9434853793975,,,,,,,,,,,,,,,,,,,
