N_P_star,N_UF_star,computation_time_sec,leader_candidate_count,leader_full_evaluated_count,leader_serial_override,solver_evaluations,step,wu_b2_price_A,wu_b2_price_B,wu_b2_price_C,wu_b2_price_D,wu_b2_price_F,wu_b2_price_delta_sec,wu_b2_price_enabled,wu_b2_price_ref_A,wu_b2_price_ref_B,wu_b2_price_ref_C,wu_b2_price_ref_D,wu_b2_price_ref_F,wu_b2_price_refresh_count,wu_b2_price_refreshed,wu_b2_price_skipped,wu_b2_price_trust_sec,wu_b3_cliff_both_FW_E,wu_b3_cliff_both_FW_W,wu_b3_meter_fd3_R_D_E_base,wu_b3_meter_fd3_R_D_E_cliffup,wu_b3_meter_fd3_R_D_E_curv,wu_b3_meter_fd3_R_D_E_hi,wu_b3_meter_fd3_R_D_E_lo,wu_b3_meter_fd3_R_D_E_nonlin,wu_b3_meter_fd3_R_D_W_base,wu_b3_meter_fd3_R_D_W_cliffup,wu_b3_meter_fd3_R_D_W_curv,wu_b3_meter_fd3_R_D_W_hi,wu_b3_meter_fd3_R_D_W_lo,wu_b3_meter_fd3_R_D_W_nonlin,wu_b3_meter_fd3_R_F_E_base,wu_b3_meter_fd3_R_F_E_cliffup,wu_b3_meter_fd3_R_F_E_curv,wu_b3_meter_fd3_R_F_E_hi,wu_b3_meter_fd3_R_F_E_lo,wu_b3_meter_fd3_R_F_E_nonlin,wu_b3_meter_fd3_R_F_W_base,wu_b3_meter_fd3_R_F_W_cliffup,wu_b3_meter_fd3_R_F_W_curv,wu_b3_meter_fd3_R_F_W_hi,wu_b3_meter_fd3_R_F_W_lo,wu_b3_meter_fd3_R_F_W_nonlin,wu_b3_meter_price_R_D_E,wu_b3_meter_price_R_D_W,wu_b3_meter_price_R_F_E,wu_b3_meter_price_R_F_W,wu_b3_meter_price_enabled,wu_b3_meter_price_ref_R_D_E,wu_b3_meter_price_ref_R_D_W,wu_b3_meter_price_ref_R_F_E,wu_b3_meter_price_ref_R_F_W,wu_b3_release_ratio_FW_E,wu_b3_release_ratio_FW_W,wu_b3_release_refresh,wu_b3_vsl_price_FW_E__seg0,wu_b3_vsl_price_FW_E__seg1,wu_b3_vsl_price_FW_E__seg2,wu_b3_vsl_price_FW_E__seg3,wu_b3_vsl_price_FW_E__seg4,wu_b3_vsl_price_FW_E__seg5,wu_b3_vsl_price_FW_E__seg6,wu_b3_vsl_price_FW_E__seg7,wu_b3_vsl_price_FW_W__seg0,wu_b3_vsl_price_FW_W__seg1,wu_b3_vsl_price_FW_W__seg2,wu_b3_vsl_price_FW_W__seg3,wu_b3_vsl_price_FW_W__seg4,wu_b3_vsl_price_FW_W__seg5,wu_b3_vsl_price_FW_W__seg6,wu_b3_vsl_price_FW_W__seg7,wu_b3_vsl_price_enabled,wu_b3_vsl_price_ref_FW_E__seg0,wu_b3_vsl_price_ref_FW_E__seg1,wu_b3_vsl_price_ref_FW_E__seg2,wu_b3_vsl_price_ref_FW_E__seg3,wu_b3_vsl_price_ref_FW_E__seg4,wu_b3_vsl_price_ref_FW_E__seg5,wu_b3_vsl_price_ref_FW_E__seg6,wu_b3_vsl_price_ref_FW_E__seg7,wu_b3_vsl_price_ref_FW_W__seg0,wu_b3_vsl_price_ref_FW_W__seg1,wu_b3_vsl_price_ref_FW_W__seg2,wu_b3_vsl_price_ref_FW_W__seg3,wu_b3_vsl_price_ref_FW_W__seg4,wu_b3_vsl_price_ref_FW_W__seg5,wu_b3_vsl_price_ref_FW_W__seg6,wu_b3_vsl_price_ref_FW_W__seg7,wu_b4_barrier_enabled,wu_f3_offset_inner_iters_A,wu_f3_offset_inner_iters_B,wu_f3_offset_inner_iters_C,wu_f3_offset_price_A,wu_f3_offset_price_B,wu_f3_offset_price_C,wu_f3_offset_price_enabled,wu_f3_offset_ref_A,wu_f3_offset_ref_B,wu_f3_offset_ref_C,wu_f3_offset_walk_from_A,wu_f3_offset_walk_from_B,wu_f3_offset_walk_from_C,wu_faithful_active,wu_faithful_np_bias_ratio,wu_faithful_np_cand_lambda,wu_faithful_np_cand_lambda_applied,wu_faithful_np_feasible_max,wu_faithful_np_feasible_max_veh,wu_faithful_np_feasible_min,wu_faithful_np_feasible_min_veh,wu_faithful_np_original_target,wu_faithful_np_original_target_veh,wu_faithful_np_pd_exit,wu_faithful_np_pd_iters,wu_faithful_np_pd_lam_entry,wu_faithful_np_pd_residual,wu_faithful_np_predictor_current_interval,wu_faithful_np_predictor_legacy,wu_faithful_np_predictor_mode_code,wu_faithful_np_predictor_phase_substep,wu_faithful_np_predictor_storage_aware,wu_faithful_np_projected_target,wu_faithful_np_projected_target_veh,wu_faithful_np_projection_residual,wu_faithful_np_realized_sum_nin_veh,wu_faithful_np_sum_nin,wu_faithful_np_target,wu_faithful_np_target_error,wu_seg13_active,wu_seg13_budget_FW_E,wu_seg13_budget_FW_W,wu_seg13_evals_FW_E,wu_seg13_evals_FW_W,wu_seg13_floor_alpha_FW_E,wu_seg13_floor_alpha_FW_W,wu_seg13_floor_cong_FW_E,wu_seg13_floor_cong_FW_W,wu_seg13_meter_box_edge_FW_E,wu_seg13_meter_box_edge_FW_W,wu_seg13_meter_box_r_FW_E,wu_seg13_meter_box_r_FW_W,wu_seg13_meter_box_total_FW_E,wu_seg13_meter_box_total_FW_W,wu_seg13_postsplit_FW_E,wu_seg13_postsplit_FW_W,wu_seg13_presplit_FW_E,wu_seg13_presplit_FW_W,wu_seg13_traj_used_FW_E,wu_seg13_traj_used_FW_W,wu_seg13_vsl_box_r_FW_E,wu_seg13_vsl_box_r_FW_W
0.0,0.0,1.869996776804328e-05,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,2.4300010409206152e-05,0.0,0.0,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,1.6900012269616127e-05,0.0,0.0,0.0,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,2.1299987565726042e-05,0.0,0.0,0.0,0.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,2.039998071268201e-05,0.0,0.0,0.0,0.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460.3893061510179,5983.233433748428,35.16958990000421,49.0,5.0,1.0,136.0,5,0.016992002383622085,-0.007958466034363879,-0.014756572509279513,0.09582410149944312,-0.07146199081277282,6.0,1.0,56.0,56.0,56.0,56.0,56.0,1.0,1.0,0.0,6.0,0.0,0.0,324.69424555103456,0.0,0.7845180883360854,324.69424555103456,325.47876363937064,0.0,324.69424555103456,0.0,0.6313454445764819,324.69424555103456,325.32559099561104,0.0,324.69424555103456,0.0,0.5367051106424015,324.69424555103456,325.23095066167696,0.0,324.69424555103456,0.0,0.49240458997269343,324.69424555103456,325.1866501410072,0.0,-0.002615060294453618,-0.0021044848152549397,-0.0017890170354746715,-0.0016413486332421219,1.0,1500.0,1500.0,1500.0,1500.0,1.0,1.0,0.0,0.054764684066171215,0.05517835298681213,0.055576402083292814,0.055811433281085426,0.056036481251640693,0.05573660024801548,0.05521050343475062,0.05394979844863404,0.054292272051183685,0.05467170173902769,0.05502681206417935,0.05528416500969335,0.05547429301912983,0.05526315174022063,0.0547316481956102,0.05350896931594047,1.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,0.0,4.0,4.0,4.0,-0.041670946128908946,-0.0038597195654194207,-0.001841408617220245,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,519.0493061510178,460.3893061510179,356.48652837324005,460.3893061510179,460.3893061510179,460.3893061510179,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,460.3893061510179,460.3893061510179,0.0,460.3893061510179,460.3893061510179,460.3893061510179,0.0,1.0,2983.233433748428,3000.0,24.0,24.0,,0.0,,0.2025671386405605,2.0,2.0,300.0,300.0,2.0,2.0,2983.233433748428,3000.0,3000.0,3000.0,,,15.0,15.0
560.0494712600486,5983.03306508519,22.00383130001137,49.0,5.0,1.0,135.0,6,0.016992002383622085,-0.007958466034363879,-0.014756572509279513,0.09582410149944312,-0.07146199081277282,6.0,1.0,56.0,56.0,56.0,56.0,56.0,1.0,0.0,0.0,6.0,0.0,0.0,324.69424555103456,0.0,0.7845180883360854,324.69424555103456,325.47876363937064,0.0,324.69424555103456,0.0,0.6313454445764819,324.69424555103456,325.32559099561104,0.0,324.69424555103456,0.0,0.5367051106424015,324.69424555103456,325.23095066167696,0.0,324.69424555103456,0.0,0.49240458997269343,324.69424555103456,325.1866501410072,0.0,-0.002615060294453618,-0.0021044848152549397,-0.0017890170354746715,-0.0016413486332421219,1.0,1500.0,1500.0,1500.0,1500.0,1.0,1.0,0.0,0.054764684066171215,0.05517835298681213,0.055576402083292814,0.055811433281085426,0.056036481251640693,0.05573660024801548,0.05521050343475062,0.05394979844863404,0.054292272051183685,0.05467170173902769,0.05502681206417935,0.05528416500969335,0.05547429301912983,0.05526315174022063,0.0547316481956102,0.05350896931594047,1.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,0.0,4.0,4.0,4.0,-0.041670946128908946,-0.0038597195654194207,-0.001841408617220245,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,729.4322461215843,560.0494712600486,376.99049690107415,560.0494712600486,560.0494712600486,560.0494712600486,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,560.0494712600486,560.0494712600486,0.0,560.0494712600486,560.0494712600486,560.0494712600486,0.0,1.0,2983.0330650851897,3000.0,28.0,24.0,,0.0,,0.20268889911494392,2.0,2.0,300.0,300.0,2.0,2.0,2983.0330650851897,3000.0,3000.0,3000.0,,,15.0,15.0
705.817663893323,6000.0,35.61146350001218,49.0,5.0,0.0,450.0,7,0.016992002383622085,-0.007958466034363879,-0.014756572509279513,0.09582410149944312,-0.07146199081277282,6.0,1.0,56.0,56.0,56.0,56.0,56.0,1.0,0.0,0.0,6.0,0.0,0.0,324.69424555103456,0.0,0.7845180883360854,324.69424555103456,325.47876363937064,0.0,324.69424555103456,0.0,0.6313454445764819,324.69424555103456,325.32559099561104,0.0,324.69424555103456,0.0,0.5367051106424015,324.69424555103456,325.23095066167696,0.0,324.69424555103456,0.0,0.49240458997269343,324.69424555103456,325.1866501410072,0.0,-0.002615060294453618,-0.0021044848152549397,-0.0017890170354746715,-0.0016413486332421219,1.0,1500.0,1500.0,1500.0,1500.0,,,0.0,0.054764684066171215,0.05517835298681213,0.055576402083292814,0.055811433281085426,0.056036481251640693,0.05573660024801548,0.05521050343475062,0.05394979844863404,0.054292272051183685,0.05467170173902769,0.05502681206417935,0.05528416500969335,0.05547429301912983,0.05526315174022063,0.0547316481956102,0.05350896931594047,1.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,0.0,4.0,4.0,4.0,-0.041670946128908946,-0.0038597195654194207,-0.001841408617220245,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,705.817663893323,0.0,705.817663893323,1.0,,,28.0,24.0,,,,,2.0,2.0,300.0,300.0,2.0,2.0,,,,,1.0,1.0,15.0,15.0
838.6056133314378,5930.3538220198825,50.02650699997321,49.0,5.0,1.0,395.0,8,0.059885038870450505,-0.04645588175615818,0.009421592204785001,0.30895345657677026,-0.0031405423510912633,6.0,1.0,56.0,56.0,56.0,50.0,56.0,2.0,1.0,0.0,6.0,0.0,0.0,506.27817450076105,0.0,0.7102739560325517,506.27817450076105,506.9884484567936,0.0,506.27817450076105,0.0,0.7758941973096398,506.27817450076105,507.05406869807064,0.0,506.27817450076105,0.0,1.039552474899324,506.27817450076105,507.31772697566043,0.0,506.27817450076105,0.0,0.8883849555548977,506.27817450076105,507.166559456316,0.0,-0.002367579853441839,-0.0025863139910319434,-0.0031639338479560073,-0.002961283185183182,1.0,1500.0,1500.0,1500.0,1500.0,1.0,1.0,0.0,0.09999571337253635,0.09987399284707904,0.09981888260475173,0.1,0.1,0.1,0.1,0.1,0.099895728668589,0.09968545739990767,0.09964242096808285,0.1,0.1,0.1,0.1,0.1,1.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,0.0,4.0,4.0,4.0,-0.0018425844908881092,-0.021511751374028623,0.020289797932744977,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1042.3339336194608,838.6056133314378,530.9175430538048,838.6056133314378,838.6056133314378,838.6056133314378,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,838.6056133314378,838.6056133314378,0.0,838.6056133314378,838.6056133314378,838.6056133314378,0.0,1.0,2930.353822019883,3000.0,24.0,24.0,,0.045061356520070574,,0.7207975491631095,2.0,2.0,300.0,300.0,2.0,2.0,2930.353822019883,3000.0,3000.0,3000.0,1.0,1.0,15.0,15.0
885.9217760446053,5630.353822,59.65721079998184,49.0,5.0,1.0,498.0,9,-0.14083191984405719,-0.11469514841584652,0.029283424172468025,0.33015588950956526,0.0195772855344023,6.0,1.0,52.0,56.0,56.0,44.0,56.0,3.0,1.0,0.0,6.0,0.0,0.0,537.8135562840114,0.0,0.17423761674263005,537.8111843391043,537.9901658456611,0.0,537.8135562840114,0.0,0.31784204818882245,537.8135562840114,538.1313983322002,0.0,537.8135562840114,0.0,0.3171079001160706,537.8109178718628,538.133302596276,0.0,537.8135562840114,0.0,0.7208838460780953,537.8135562840114,538.5344401300895,0.0,0.00010233568921366666,-0.0009058246329875648,0.000630751032388467,-0.0012247938824352879,1.0,1465.1769110099415,1500.0,1465.1769110099415,1500.0,0.9310113269924037,1.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,1.0,115.0,115.0,115.0,100.0,115.0,115.0,100.0,100.0,115.0,115.0,115.0,115.0,115.0,100.0,100.0,100.0,0.0,4.0,4.0,4.0,0.014239768866015991,-0.04437716841660024,0.03392848504569443,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1044.4680218587262,885.9217760446053,580.5294009674418,885.9217760446053,885.9217760446053,885.9217760446053,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,885.9217760446053,885.9217760446053,0.0,885.9217760446053,885.9217760446053,885.9217760446053,0.0,1.0,2825.2651130435297,3000.0,34.0,29.0,0.5328719739228854,0.37644752790810365,0.9459409110413317,0.8737450128806632,0.0,2.0,300.0,300.0,2.0,2.0,2630.353822,3000.0,2630.353822,3000.0,1.0,1.0,15.0,15.0
