step,time_sec,step_total_ttt,step_urban_ttt,step_freeway_ttt,cumulative_total_ttt,cumulative_urban_ttt,cumulative_freeway_ttt,computation_time_sec
0,180.0,24.78662612764044,9.277464796772705,15.509161330867732,24.78662612764044,9.277464796772705,15.509161330867732,0.00042019999818876386
1,360.0,22.48071007836949,9.13143061134805,13.349279467021441,47.26733620600993,18.408895408120756,28.858440797889173,3.250001464039087e-05
2,540.0,20.92710905927568,8.391659419387043,12.535449639888634,68.19444526528561,26.8005548275078,41.393890437777806,2.7499976567924023e-05
3,720.0,20.833682440921464,8.098816834353347,12.734865606568116,89.02812770620707,34.899371661861146,54.12875604434592,3.4299970138818026e-05
4,900.0,20.751708729809096,8.227563896396628,12.52414483341247,109.77983643601615,43.12693555825777,66.65290087775838,2.6999972760677338e-05
5,1080.0,20.73768624360652,8.065466598024644,12.672219645581878,130.5175226796227,51.19240215628241,79.32512052334026,45.554908099991735
6,1260.0,28.374056542030544,11.502717758492798,16.871338783537745,158.89157922165322,62.69511991477521,96.19645930687801,47.4532109000138
7,1440.0,47.85613625857472,19.063263969642932,28.792872288931786,206.74771548022795,81.75838388441815,124.9893315958098,53.429272299981676
8,1620.0,66.08420840474511,26.263118829226347,39.82108957551877,272.8319238849731,108.0215027136445,164.81042117132858,47.75967340002535
9,1800.0,76.52208166184496,30.014902157864046,46.507179503980915,349.35400554681803,138.03640487150855,211.3176006753095,52.78018149995478
10,1980.0,82.9614201178396,33.20195760420465,49.75946251363494,432.31542566465765,171.2383624757132,261.07706318894446,96.87580109998817
11,2160.0,87.68014723123235,35.120668966672646,52.559478264559715,519.99557289589,206.35903144238583,313.63654145350415,76.0403776000021
12,2340.0,91.7052686397922,37.8132516092292,53.892017030563,611.7008415356822,244.172283051615,367.52855848406716,60.273735800001305
13,2520.0,95.22506462952242,38.706567448727434,56.51849718079498,706.9259061652045,282.8788505003424,424.0470556648621,59.88742839999031
14,2700.0,98.8563714166124,41.12158131345042,57.73479010316199,805.782277581817,324.00043181379283,481.7818457680241,57.45012150000548
15,2880.0,102.53736804757183,42.77675457114301,59.76061347642882,908.3196456293887,366.7771863849358,541.5424592444529,59.421482699981425
16,3060.0,106.23040210931448,44.66590757229798,61.5644945370165,1014.5500477387031,411.4430939572338,603.1069537814693,57.87361830001464
17,3240.0,110.01532756336195,45.814156795882326,64.20117076747962,1124.5653753020651,457.2572507531162,667.308124548949,56.41524820000632
18,3420.0,113.74856225374434,48.017091105622,65.73147114812234,1238.3139375558094,505.2743418587382,733.0395956970713,54.43791209999472
19,3600.0,117.56960847168247,49.64711267987945,67.92249579180303,1355.8835460274918,554.9214545386176,800.9620914888743,58.998226600000635
20,3780.0,121.50784932621909,51.700866566670044,69.80698275954904,1477.3913953537108,606.6223211052876,870.7690742484233,99.18545630003791
21,3960.0,125.51700060969142,52.76071070130563,72.7562899083858,1602.9083959634022,659.3830318065932,943.5253641568091,73.72979720000876
22,4140.0,129.71506710283666,55.071078362850464,74.64398873998618,1732.6234630662389,714.4541101694437,1018.1693528967953,71.67334879998816
23,4320.0,133.54540975503863,56.582408139109845,76.96300161592879,1866.1688728212775,771.0365183085535,1095.132354512724,59.31203840003582
24,4500.0,137.41027331887923,58.77096295382842,78.63931036505082,2003.5791461401568,829.8074812623819,1173.7716648777748,56.69170159997884
